"Date","Location","Distributed","Distributed_Janssen","Distributed_Moderna","Distributed_Pfizer","Distributed_Unk_Manuf","Dist_Per_100K","Administered","Administered_Janssen","Administered_Moderna","Administered_Pfizer","Administered_Unk_Manuf","Admin_Per_100K","Recip_Administered","Administered_Dose1_Recip","Administered_Dose1_Pop_Pct","Series_Complete_Yes","Series_Complete_Pop_Pct","Series_Complete_Janssen","Series_Complete_Moderna","Series_Complete_Pfizer","Series_Complete_Unk_Manuf","Additional_Doses","Additional_Doses_Vax_Pct","Additional_Doses_Moderna","Additional_Doses_Pfizer","Additional_Doses_Janssen","Additional_Doses_Unk_Manuf"
2020-12-15,"TX",94575,0,0,0,0,326,7816,0,8,7808,0,27,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"AK",12675,0,0,0,0,1733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"FL",118950,0,0,0,0,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"DE",975,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"CT",13650,0,0,0,0,383,343,0,0,343,0,10,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"KS",24375,0,0,0,0,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"MI",4875,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"MA",39975,0,0,0,0,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"OH",9750,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"MO",45825,0,0,0,0,747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"ME",5850,0,0,0,0,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"AR",22425,0,0,0,0,743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"IL",47775,0,0,0,0,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"GA",22425,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"SD",7800,0,0,0,0,882,5,0,0,5,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"ME",5850,0,0,0,0,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"WY",4875,0,0,0,0,842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"ND",6825,0,0,0,0,896,282,0,0,282,0,37,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"LA",39000,0,0,0,0,839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"ID",2925,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"MA",59475,0,0,0,0,863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"MN",6825,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"WV",16575,0,0,0,0,925,6692,0,0,6692,0,373,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"PA",31200,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"UT",9750,0,0,0,0,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"MS",12675,0,0,0,0,426,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"OR",4875,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"WI",49725,0,0,0,0,854,192,0,0,192,0,3,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"DE",8775,0,0,0,0,901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"NC",20475,0,0,0,0,195,101,0,0,101,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"OK",33150,0,0,0,0,838,5,0,1,4,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"MI",9750,0,0,0,0,98,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"KS",24375,0,0,0,0,837,19,0,0,19,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"AZ",58500,0,0,0,0,804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"VT",3900,0,0,0,0,625,20,0,0,20,0,3,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"NH",4875,0,0,0,0,359,934,0,0,934,0,69,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"VA",72150,0,0,0,0,845,271,0,0,271,0,3,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"NJ",9750,0,0,0,0,110,242,0,0,242,0,3,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"NV",17550,0,0,0,0,570,173,0,0,173,0,6,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"CT",15600,0,0,0,0,438,1191,0,0,1191,0,33,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"AL",39000,0,0,0,0,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"IN",4875,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"KY",12675,0,0,0,0,284,273,0,0,273,0,6,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"NE",15600,0,0,0,0,806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"CA",195000,0,0,0,0,494,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"CO",46800,0,0,0,0,813,183,0,0,183,0,3,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"OH",9750,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"NM",17550,0,0,0,0,837,122,0,0,122,0,6,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"TN",975,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"MO",45825,0,0,0,0,747,886,0,0,886,0,14,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"AK",26325,0,0,0,0,3599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"TX",94575,0,0,0,0,326,29970,0,10,29960,0,103,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"RI",4875,0,0,0,0,460,104,0,0,104,0,10,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"FL",118950,0,0,0,0,554,29,0,0,29,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"WA",31200,0,0,0,0,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
